cod_cliente,nm_cliente,nm_pais_cliente,nm_cidade_cliente,nm_rua_cliente,num_casa_cliente,num_telefone_cliente,dt_nascimento_cliente,dt_atualizacao,tp_pessoa,vl_renda,anomesdia
66,KATHERINE PRATT,Switzerland,Smithbury,Robert Loaf,9266,(56)28833-3259,1950-08-01,2024-07-23,PF,6552.94,20260710
69,ALEXANDER ROBINSON,Benin,Starkland,Cheryl Islands,409,(35)79161-7028,1963-11-26,2024-05-02,PF,2810.31,20260710
70,KARLA LYNCH,Cambodia,Sherryburgh,Ashley Turnpike,36568,(25)74804-5625,1954-09-09,2024-07-30,PF,9473.47,20260710
71,JOSE DAVIS,Australia,Hartfort,Michelle Fork,969,,1954-05-09,2025-01-31,PF,3121.30,20260710
74,JOHN BROWN,Swaziland,Lake Sara,Choi Course,17813,(25)47261-5664,1951-05-11,2024-11-28,PF,9572.85,20260710
77,MARK BROWN,Dominica,Perkinsland,Johnson Tunnel,98702,(56)20378-8578,1995-09-15,2024-11-07,PJ,90755.80,20260710
82,MICHAEL NICHOLS MD,Rwanda,East Thomastown,Christopher Squares,95853,(74)27496-9834,1960-05-10,2024-12-01,PF,7415.18,20260710
88,MICHELLE LITTLE,Christmas Island,West Williamside,Eric Ridge,980,(59)23862-9246,1956-12-27,2024-05-01,PF,2931.89,20260710
91,DR. LINDA BROOKS,Reunion,South John,Hatfield Trail,63755,(30)70457-6523,1965-04-02,2024-09-09,PF,3949.92,20260710
93,CARLY COOPER,Indonesia,East Melissa,Joann Meadow,6780,(59)64996-1685,1972-06-16,2025-03-16,PJ,97777.42,20260710
96,LORI WOLFE,San Marino,East Richard,Taylor Island,1155,(14)62841-1416,1966-07-05,2024-09-06,PJ,30876.76,20260710
99,CHARLES COSTA,Gabon,Lisaview,Peterson Place,92945,(89)63417-6693,1959-02-19,2025-02-13,PJ,97671.80,20260710
100,KATHY BERG,Mauritania,Taylorstad,Matthew Valleys,748,(70)53752-5567,1951-09-28,2025-02-01,PF,2114.06,20260710
102,GARY BAKER,British Virgin Islands,South Scotthaven,Bishop Mount,9908,(11)79634-8754,1973-03-14,2024-07-23,PF,7713.03,20260710
106,TYLER BLACK,Saint Martin,New Tanya,Jean Vista,508,(19)89048-1969,1955-11-23,2024-08-16,PJ,87990.44,20260710
107,KATHRYN STEWART,Afghanistan,South Dianemouth,Valerie Hill,6743,(67)66192-1681,1972-08-26,2024-09-11,PJ,85494.87,20260710
108,AMY HOUSTON,Senegal,New Dariusfort,William Port,555,,2000-07-07,2024-04-11,PJ,83746.92,20260710
109,JOHN ELLIOTT,Lithuania,South David,Johnson Meadows,965,(12)85043-4513,1996-10-18,2024-10-30,PF,6070.27,20260710
121,JOHN MARTIN,Egypt,Port Johnmouth,Karen River,77887,(90)60100-9148,1950-11-26,2024-10-03,PF,5613.23,20260710
122,LEE JONES,Faroe Islands,Whitetown,Elizabeth Plaza,20021,(67)37188-7531,1969-04-10,2024-08-25,PF,7309.69,20260710
126,MICHELLE MEDINA,Burundi,Heathburgh,Escobar Vista,5780,(15)72591-6630,1949-11-30,2024-08-25,PF,5507.59,20260710
127,LORI NIXON,Yemen,Davidton,Bullock Loaf,96165,(54)65498-5904,1944-10-15,2024-12-02,PF,7287.55,20260710
128,TYLER BRUCE,Vanuatu,Shawnchester,Barnes Mission,1886,(86)85466-5873,1948-02-08,2025-02-23,PF,2913.93,20260710
140,MICHAEL RICE,Czech Republic,Port Angela,Nathan Rest,5389,(67)37204-1364,1953-10-15,2024-09-11,PJ,86616.85,20260710
143,NICOLE STEWART,Panama,Kingburgh,Bates Lock,995,(71)36454-9466,1977-04-02,2024-11-20,PF,5042.14,20260710
153,JASON DAVIS,Liberia,Lisaside,Peterson Tunnel,66311,(10)56434-4201,2005-11-15,2024-11-02,PJ,59124.00,20260710
154,STEVEN RICHARDS,United Kingdom,New Katherinefurt,Cook Well,60518,(51)44240-9722,1951-12-18,2025-01-04,PJ,68204.36,20260710
161,TONYA THOMPSON,Guyana,Owensstad,Morgan Meadow,44909,(44)30227-5229,1968-07-03,2024-12-28,PJ,24600.23,20260710
165,KATHRYN TUCKER,Wallis and Futuna,Robertland,Brandon Streets,16564,(44)86546-2730,1955-12-29,2025-04-02,PJ,12983.50,20260710
167,ANDREW MANNING,Cameroon,New Gordonshire,Matthew Curve,911,(52)39634-8318,1967-07-09,2024-10-11,PJ,50835.55,20260710
172,TERRI DAVIS,Saint Vincent and the Grenadines,Sarahtown,Sharon Forge,64892,(94)70488-9385,1973-06-27,2024-09-03,PF,9454.85,20260710
173,STEVEN WILLIAMS,Canada,North Judith,Ellis Freeway,500,,2002-11-22,2025-01-05,PJ,53943.58,20260710
175,JASON DUNN,Saint Helena,Kerrytown,Gonzalez Mountain,189,,1970-03-22,2024-12-22,PF,7647.96,20260710
177,SIERRA QUINN,Zambia,Melindatown,James Run,6471,(45)88202-7887,1954-08-09,2025-03-03,PJ,69799.53,20260710
178,MR. NICOLAS ENGLISH,El Salvador,South Antonio,Williams Wall,822,(40)86658-7510,1964-08-29,2024-08-28,PJ,56158.08,20260710
180,JEFFREY ROSALES,Tajikistan,Danielmouth,Rachel Forks,48868,(27)95753-8151,1970-02-09,2024-08-07,PF,4591.86,20260710
181,RACHEL JIMENEZ,Guatemala,Bennettbury,Brandon Harbors,6311,(86)79333-3205,1964-09-06,2024-12-20,PJ,14882.61,20260710
182,STEPHEN CASE,Botswana,Reynoldsland,Davis Hill,747,(73)48061-6760,2000-05-11,2024-07-27,PJ,93614.00,20260710
183,SPENCER MOORE,Andorra,Stephanieborough,Kelly Spurs,531,(61)23579-8230,1983-09-13,2024-04-10,PJ,62400.13,20260710
185,LESLIE ALVARADO,Kyrgyz Republic,Rhondatown,Melissa Turnpike,1288,(76)74557-1181,1997-03-22,2024-06-05,PF,1970.88,20260710
190,NOAH STONE,Suriname,Martinview,Huerta Lock,296,(93)69452-5359,1966-09-09,2024-11-29,PJ,64615.03,20260710
191,KENNETH WHITE,Czech Republic,North Edward,Clark Valleys,81766,(58)72825-4741,1990-02-01,2024-09-20,PJ,19330.33,20260710
194,STEVEN CARPENTER,South Georgia and the South Sandwich Islands,Kristyfurt,Heather Ports,2789,(76)74023-9132,1999-04-11,2024-12-31,PF,6676.36,20260710
195,REBECCA WARREN,Belize,North Melissa,Melissa Falls,9932,,1958-02-22,2025-01-08,PF,1127.90,20260710
197,COLLEEN BROOKS,Guam,New Amberview,Wiggins Street,292,(55)26993-5273,1991-11-03,2024-11-17,PF,5621.40,20260710
200,KRISTEN LYNN,Belize,New Michaelton,Antonio Mall,18314,(21)10662-8616,1993-04-24,2025-03-19,PF,1745.49,20260710
202,JOHN FISHER,Syrian Arab Republic,Thompsonmouth,Sean Unions,38,(87)46749-7229,1987-12-29,2025-01-15,PJ,55400.22,20260710
212,COURTNEY ROMAN,Cook Islands,Kennedyburgh,Graham Dam,79249,,1947-12-30,2024-09-19,PJ,37668.95,20260710
213,JULIA WASHINGTON,Heard Island and McDonald Islands,North Linda,Mcpherson Lodge,76490,(78)77206-5001,1997-06-30,2025-02-07,PJ,54200.37,20260710
214,JAMES EVANS,Yemen,North Robertside,Justin Course,262,(18)83883-6902,1954-06-23,2025-02-28,PF,8516.20,20260710
215,WILLIAM ROBERTS,South Georgia and the South Sandwich Islands,Munozfurt,Kyle Island,95126,(75)47914-4988,1946-08-18,2024-05-27,PF,4170.38,20260710
216,JEFFREY STRICKLAND,Somalia,West Timothyport,Diane Port,878,(85)80426-2080,1960-05-07,2024-04-25,PJ,80812.99,20260710
222,MARCUS YOUNG,Tunisia,Clarkmouth,Jennifer Stream,140,(77)74658-7182,1977-03-02,2024-05-20,PF,8744.68,20260710
225,MICHELE ROBERTSON MD,Australia,Lake Robert,Bowman Prairie,7567,(65)22968-3533,1968-04-14,2024-11-14,PJ,19645.91,20260710
227,CHRISTIAN HOLLAND,Falkland Islands (Malvinas),Josephmouth,Hawkins Cape,252,(39)76162-9459,1979-05-13,2025-04-04,PF,6955.53,20260710
229,LINDSEY JACKSON,United States Minor Outlying Islands,South Zacharyfurt,Porter Stravenue,259,(90)62635-5625,1959-05-05,2024-05-25,PJ,82796.67,20260710
231,RYAN BURGESS,Zimbabwe,Lake Susanfort,Adrienne Roads,855,(50)94550-1974,1953-03-20,2024-09-06,PJ,76668.26,20260710
233,BRUCE AYALA,Germany,Fletcherborough,Adam Manors,8537,(54)31511-2751,1982-06-21,2024-05-02,PF,5944.07,20260710
236,VICTORIA LARSON,China,Lake Michaelport,Kimberly Branch,57127,(98)64726-9165,1949-08-13,2024-11-10,PF,6556.59,20260710
244,AMY WEAVER,Tunisia,New Sydneyshire,Tracy Light,0,(89)64099-6639,1957-06-19,2024-04-05,PJ,38047.44,20260710
248,BRITTANY PETTY,Ukraine,North Andrewborough,William Walks,27690,(37)33469-8974,1946-10-04,2024-08-22,PJ,40505.60,20260710
253,MARC DIAZ,Cayman Islands,Hannahview,Donald Passage,615,(60)51163-8635,1961-02-14,2024-11-07,PF,8856.34,20260710
254,STEVEN HAYNES,Botswana,East Ronaldshire,Cindy Route,5851,(15)30170-1603,1970-08-08,2024-05-23,PJ,98546.46,20260710
256,WALTER BURTON,Tajikistan,Danielmouth,Yang Corners,8741,(76)41173-2045,2000-10-24,2024-08-24,PJ,37768.31,20260710
260,MARY PEREZ,Finland,Port Josestad,Solis Dale,192,,1978-02-20,2025-03-22,PF,7642.67,20260710
261,DAN ANDERSON,Cote d'Ivoire,Erikaside,Santiago Mall,87642,(67)15362-7201,2003-02-22,2024-11-01,PJ,36560.78,20260710
262,STEVEN FUENTES,Azerbaijan,Alfredfort,Jonathan Parkway,851,(77)59053-4245,1969-07-06,2024-05-19,PJ,62020.84,20260710
263,CHRISTOPHER KRAUSE,Saint Lucia,Port Melissa,Gallagher Squares,596,,1992-07-10,2024-05-21,PF,2395.80,20260710
265,KRISTIE WHITE,Monaco,Davidbury,Simmons Walk,9713,(85)59840-4983,1965-09-16,2024-12-30,PJ,11594.70,20260710
267,WILLIAM HUGHES,Mongolia,Taylorview,Daniel Inlet,72089,(70)40026-9752,2006-12-08,2025-01-20,PF,8877.67,20260710
270,WILLIAM CLARK,Wallis and Futuna,Lisafort,Justin Meadows,2615,(50)90059-7440,1986-05-26,2024-06-07,PJ,53559.79,20260710
271,RENEE MERRITT,Montserrat,Martinville,Lisa Motorway,115,(29)48887-5523,1951-09-27,2024-07-02,PF,8980.82,20260710
274,MELINDA JONES,United States Minor Outlying Islands,Jonesburgh,Justin River,81131,,1994-11-15,2025-03-21,PJ,21187.28,20260710
278,CHRISTINE BROWN,Bolivia,Port Laurenmouth,Wright Causeway,43088,(91)36395-4792,1964-03-27,2024-08-23,PF,4562.99,20260710
280,FERNANDO CARR JR.,Mongolia,Port Peter,Sandra Common,2047,(48)34380-2355,1966-11-11,2024-07-30,PJ,14940.63,20260710
281,MATTHEW RAMOS MD,Vietnam,Scottside,Conner Key,7750,(43)18565-4423,1989-06-23,2025-01-21,PF,9191.76,20260710
287,JUSTIN WANG,Cambodia,Port Angeltown,Kimberly Trace,61062,,1991-11-21,2025-02-24,PF,1864.69,20260710
291,KATIE CROSS,Western Sahara,Port Grantland,Annette Crescent,5011,(62)22509-9828,1993-02-25,2024-12-26,PF,6599.62,20260710
294,JEREMY LEE,Tajikistan,Williamsmouth,Timothy Via,4186,(31)87507-4192,1950-02-26,2024-12-21,PF,9631.78,20260710
295,JOSHUA CARR,Lesotho,Williamsview,Jason Springs,44355,(20)55455-3844,1980-08-26,2025-03-18,PJ,44113.78,20260710
296,SUZANNE KIM,New Zealand,North Brian,Pierce Junctions,17705,(91)63036-2566,1994-10-09,2025-04-01,PJ,54751.12,20260710
300,JAMES PITTS,Austria,Brianbury,Katie Cape,69,(18)67029-3005,2005-08-10,2024-04-06,PF,1202.61,20260710
301,MATTHEW HOPKINS,Sierra Leone,North Brianville,Andrew Square,3874,(60)25815-7632,1969-06-02,2024-07-13,PJ,35378.36,20260710
306,SCOTT HARRIS,British Indian Ocean Territory (Chagos Archipelago),East Michaelbury,Campbell Road,3123,(83)71508-1269,1948-07-10,2024-12-11,PJ,99349.18,20260710
307,MARTIN BARNETT,Zimbabwe,Lake Louisberg,Judy Circle,79,(58)50595-6519,1981-12-15,2024-10-01,PJ,79301.67,20260710
309,AMANDA VILLA,Antarctica (the territory South of 60 deg S),Martinezburgh,Butler Trail,86008,(44)17214-5354,1972-05-25,2024-07-30,PJ,63371.12,20260710
314,PAUL COX,Western Sahara,North Katiemouth,Rodriguez Tunnel,5555,(52)49007-3618,1947-12-24,2025-03-13,PJ,92027.28,20260710
317,CASSANDRA SNYDER,Micronesia,North Charlesport,Jill Point,61,(63)86730-8097,1984-09-20,2025-03-10,PJ,91400.22,20260710
318,MICHELLE GORDON,Montenegro,Huangshire,Sandra Ford,68865,,1976-07-05,2025-01-21,PF,4770.24,20260710
322,MATTHEW RODRIGUEZ,Botswana,Mollyville,Collins Road,66635,(46)36671-8336,1986-10-12,2025-04-02,PF,2907.67,20260710
324,THOMAS MURILLO,Congo,Port Danielburgh,Ryan Squares,89835,(56)65796-9705,1950-10-07,2024-08-01,PJ,19115.72,20260710
326,TRACY COX,Ukraine,Lisaville,Wagner Stravenue,31,(37)34958-9117,1950-12-04,2024-07-22,PF,5967.25,20260710
331,JUSTIN MEDINA,Indonesia,Lunabury,Elizabeth Place,141,(93)97558-6036,1947-10-13,2025-03-17,PF,5668.52,20260710
334,CHRISTOPHER HUFFMAN,Vanuatu,Lake Allenport,Stephanie Street,8322,(32)70028-8096,2000-10-14,2025-03-16,PF,1985.20,20260710
341,NICOLE COLEMAN,Mozambique,Sheaberg,Melissa Valley,222,(42)93974-3090,1961-09-06,2025-01-24,PJ,55985.24,20260710
345,KATHY RAY,British Indian Ocean Territory (Chagos Archipelago),New Briannachester,Corey Lane,6737,(31)98547-9492,1992-11-12,2025-01-17,PF,2621.58,20260710
349,JENNIFER GARCIA,Gibraltar,New Andrew,Owen Ports,67999,(31)30173-1547,1986-09-07,2024-11-11,PJ,89843.93,20260710
350,MONICA HOWARD,Spain,Liufurt,Laura Lake,76544,(75)21389-5139,1995-12-22,2024-10-13,PJ,78335.71,20260710
353,LAURA HEATH,Djibouti,Sextonstad,Jonathon Lake,73234,(20)32055-1323,1955-05-11,2024-07-10,PJ,98259.23,20260710
357,CARLOS FRANCIS,British Virgin Islands,East Tony,Wheeler Ridges,99077,(38)47091-5324,1955-10-17,2024-07-04,PJ,47726.41,20260710
362,JENNIFER PITTMAN,Niger,West Anitamouth,James Orchard,50409,(36)67133-8754,2005-07-24,2024-10-28,PF,9200.34,20260710
366,HOLLY NIELSEN,Togo,North Sabrinaland,David Divide,2835,(32)35812-5303,1992-11-04,2025-02-23,PF,3030.54,20260710
369,AUSTIN DELACRUZ,North Macedonia,East Scott,Moss Dale,5461,(92)77783-1027,1950-12-28,2024-05-20,PJ,13560.55,20260710
371,JUSTIN ALLEN,United States Minor Outlying Islands,North Staceymouth,Kristina Hills,482,,2001-04-07,2024-08-06,PJ,36817.06,20260710
372,LAURA VALENTINE,Central African Republic,North Kelly,Joseph Inlet,8790,,1989-08-15,2024-12-25,PF,5436.87,20260710
376,CYNTHIA HAMILTON,Suriname,Allenland,Matthew Square,8957,(27)84408-6934,1983-04-14,2024-10-09,PJ,73406.99,20260710
377,GABRIELA MORRIS,Cote d'Ivoire,Lake Jessicaburgh,Karen Valleys,266,(98)32094-8933,1987-05-01,2024-11-16,PJ,29038.08,20260710
382,ASHLEY ROLLINS,Ethiopia,Tammyfort,Monica Avenue,50154,(67)60371-1932,2000-08-24,2024-04-14,PF,5578.79,20260710
383,ANDREW JACKSON,Moldova,Lake Brianaburgh,Ponce Shores,38146,(67)56698-1023,1976-10-11,2024-09-28,PF,4667.83,20260710
387,ADAM KNAPP,Honduras,New David,James Glens,543,(84)23560-2225,1961-08-14,2025-01-24,PF,6410.71,20260710
388,MONIQUE BOOTH,Hong Kong,Pittsfurt,Crystal Forge,347,(58)98605-6315,1997-06-14,2024-08-16,PF,4617.18,20260710
392,JULIE WRIGHT,Canada,North Melissaberg,Roberts Villages,4405,(49)59898-2080,1956-03-13,2024-04-07,PF,8167.42,20260710
393,KEVIN WARD,Turks and Caicos Islands,Johnsonmouth,Jones Gardens,6644,(15)52050-3895,1962-10-08,2024-11-04,PF,1375.66,20260710
395,ALEJANDRO HOGAN,Nicaragua,Jonathantown,Angela Turnpike,941,(24)84375-1454,1949-05-27,2024-12-10,PF,2373.24,20260710
396,SARAH ALLEN,Seychelles,North Melissabury,Burke Grove,249,(39)32960-8465,2001-10-12,2025-04-02,PJ,37091.67,20260710
398,KEVIN STOUT,United Kingdom,Rodriguezbury,Khan Ranch,2756,(22)88949-1253,1999-03-05,2025-01-06,PJ,32632.58,20260710
401,WILLIAM PORTER,Martinique,Mistyside,Davis Ford,63176,(89)88329-3803,1952-11-10,2024-06-30,PF,6985.59,20260710
405,JOSHUA WHITE,Hong Kong,Samuelview,Hubbard Harbor,11566,(39)15579-8253,1983-08-23,2024-06-28,PJ,77827.36,20260710
406,TERESA BARRETT,Swaziland,Justinburgh,Matthew Mountain,776,(21)96076-8015,1950-10-18,2025-03-25,PJ,32362.45,20260710
407,MR. CRAIG MARTINEZ DDS,Uzbekistan,Christopherton,Bush Park,210,(96)69908-8867,1981-07-26,2025-03-26,PJ,87212.66,20260710
412,CHRISTINA VALDEZ,Belize,Weberfurt,Jo Viaduct,767,(91)17875-8041,1998-12-28,2024-08-12,PJ,43054.10,20260710
414,CLAYTON THOMAS,Austria,West Dianaville,Nelson Road,887,(44)28074-9437,1989-06-08,2024-11-17,PF,2219.98,20260710
415,MICHAEL DYER,Western Sahara,West Tyler,Nancy Mill,2728,(25)51633-1869,1956-06-08,2024-11-03,PF,4801.25,20260710
417,THOMAS JOYCE,Lithuania,Wilsonhaven,Reynolds Wells,77435,(65)81348-4552,1981-01-17,2024-12-05,PJ,18828.24,20260710
418,THOMAS TAYLOR,Finland,Lake Darrelltown,Michelle Pines,9122,(78)60649-5923,1981-03-27,2024-09-19,PF,3087.21,20260710
419,ANDREA ROBERTS,Madagascar,Stoneburgh,Tran Port,5919,(85)19538-5969,1994-02-13,2024-06-23,PJ,74896.65,20260710
421,CRYSTAL SMITH,Oman,Eatonside,Adam Circles,568,(72)67197-4043,1963-03-31,2024-04-30,PF,7442.39,20260710
422,STEPHANIE VAZQUEZ,Isle of Man,Markhaven,Leslie Falls,823,(93)95490-3116,1986-02-11,2024-11-18,PF,2876.28,20260710
423,JOSHUA RUIZ,Solomon Islands,Greenton,Collier Plain,2651,(44)84233-2976,2007-03-01,2025-03-04,PJ,59083.75,20260710
426,ANGELA WATERS,Angola,North Brendaton,Davis Valley,79871,(92)94001-5430,1984-11-28,2025-03-12,PJ,35105.53,20260710
434,ELIZABETH THOMAS,Liberia,Jenniferstad,Ray Trafficway,49600,(10)17754-2343,1955-10-02,2024-08-14,PJ,31438.02,20260710
435,SHELBY MORAN,Colombia,Craigbury,Velez Island,425,(57)47470-2562,1955-06-25,2024-12-29,PF,7310.98,20260710
436,ELIZABETH KELLEY,Belize,Bakermouth,Kimberly Oval,22995,(11)99638-4803,1962-07-06,2024-09-18,PJ,13480.61,20260710
440,EDWARD VINCENT,Namibia,Aimeetown,Ramos Brook,72527,(55)85318-3044,1978-11-24,2024-07-12,PJ,93264.24,20260710
441,DANA WALTER,Palau,Sarahborough,Baker Port,797,(13)48104-2002,1945-02-21,2024-04-29,PF,4108.30,20260710
443,ELIZABETH JENSEN,Georgia,Mckeefurt,Miller Union,25,(11)68968-8823,1960-04-12,2024-05-05,PF,8297.44,20260710
446,TONYA HENDERSON,Hungary,Jessicafort,Pamela Radial,902,(12)92984-3706,1976-09-14,2025-01-30,PJ,53113.64,20260710
447,DAVID REID,Samoa,West Pamelaside,Gonzalez Trace,9296,(47)89808-7873,1978-04-07,2024-09-29,PJ,76712.49,20260710
449,LORRAINE CAMPBELL MD,Maldives,Kathrynland,Brown Plains,5647,(82)80989-4062,1945-10-30,2024-10-25,PJ,79747.16,20260710
451,JOSHUA MORTON,Argentina,North Brettview,Troy Camp,31821,(30)79161-5832,1984-06-12,2025-04-03,PF,7257.65,20260710
453,DANIEL WHITE,Ethiopia,East Richardchester,Richard Points,48727,,1968-05-03,2024-07-04,PF,6571.92,20260710
457,MONICA BLANCHARD,Colombia,Matthewmouth,Aguilar Burg,69239,(40)45080-5303,1948-03-29,2025-01-03,PF,5585.90,20260710
461,DR. SUSAN GONZALEZ,Lebanon,Alexanderberg,Collins Rue,53302,(16)53697-7767,1978-09-03,2024-04-18,PJ,46933.86,20260710
462,JANET DECKER,Chad,New Aprilfort,Mary Station,2933,(46)23936-8832,1965-09-22,2024-11-20,PF,3249.46,20260710
463,RYAN LEWIS,Bermuda,Philipville,Lamb Island,181,,1998-05-21,2025-03-22,PJ,78598.85,20260710
464,CALVIN BARNETT,Guyana,Lake Davidview,Kenneth Ridge,91270,(15)10563-2701,1967-01-04,2025-03-07,PJ,36183.52,20260710
465,DOMINIQUE ANDERSON,Malta,Aprilborough,Amber Shores,62499,(84)58489-3940,1954-09-24,2024-07-23,PF,7909.54,20260710
467,JACOB MARTIN,Burkina Faso,West Kathrynville,Jo Wall,78577,(19)28117-8307,1985-08-30,2024-11-22,PJ,74286.76,20260710
476,LAWRENCE BENNETT,Togo,Port Duane,Diane Fort,840,(74)45689-6992,1971-09-09,2025-01-13,PF,4984.59,20260710
477,CARLOS BRADY,Tajikistan,Kimberlyburgh,Eric Pine,1495,(97)23383-4762,1965-03-30,2025-01-21,PJ,16712.13,20260710
479,JASMINE BAUTISTA,Micronesia,Elizabethville,Rhodes Spring,257,(52)89525-1429,1990-12-20,2024-08-16,PF,6471.28,20260710
480,NATASHA COOK,Vietnam,Millerville,Steven Trafficway,572,(17)88338-9660,2006-12-22,2025-01-18,PJ,79182.56,20260710
484,RICHARD STANLEY,Switzerland,New Melanieshire,Michael Fork,9954,(23)92703-3463,1987-04-16,2024-08-17,PJ,57508.51,20260710
485,CYNTHIA HARRIS,Macao,East Cheryl,Rice Court,60744,(25)31099-1098,2000-08-28,2024-07-30,PJ,84908.42,20260710
488,COREY SANDERS,Cayman Islands,Port Jackshire,Lisa Walks,8982,(32)31207-6430,1948-02-06,2024-12-06,PJ,44880.98,20260710
490,AUTUMN WARD,Dominica,Kaylafort,Smith Mews,28862,(51)79516-2095,1989-02-19,2025-02-11,PF,2680.85,20260710
494,SHANNON THOMAS,Tokelau,Lake Gregory,Miller Club,129,(19)93729-9145,1954-08-16,2024-09-16,PJ,17128.82,20260710
500,KRISTINA HILL,Turks and Caicos Islands,Davidmouth,Gomez Fall,7981,(67)83544-8363,1950-08-21,2025-02-02,PJ,65236.35,20260710
502,MICHAEL MILLER,Dominican Republic,New Ginafurt,Campbell Drive,942,(37)35006-6212,1959-12-20,2025-03-19,PF,8631.54,20260710
503,MATTHEW GARCIA,Saint Barthelemy,Michaelview,Phillips Divide,44795,(55)87392-3914,1992-11-26,2025-03-24,PF,6998.38,20260710
506,CORY JOHNSON,Sudan,West Charlesborough,Amy Cove,436,(79)40754-5697,1946-01-02,2024-06-24,PJ,63608.98,20260710
